ShopName,Date,Prefecture,longitude,latitude,Open,genres
からあげ専門店 鶏ちゃん 仙川店,2021-11-05,東京都,139.58261410044807,35.661390074595325,1, #からあげ
骨付鳥、からあげ、ハイボール がブリチキン。桑名駅前店,2021-11-03,三重県,136.68535582923522,35.067079096438825,1, #居酒屋 #からあげ #焼鳥
からあげ 金と銀 足立入谷店,2021-11-01,東京都,139.76109571570174,35.809990830506045,1, #からあげ
からあげ、定食、丼 がブリチキン。則武新町店,2021-10-27,愛知県,136.8777393156908,35.179988364904176,1, #からあげ #定食・食堂
元祖からあげ本舗マルタカ 富岡店,2021-10-24,群馬県,138.8981248157096,36.255820705851434,1, #からあげ
あっちゃんのからあげ屋 大和田北口店,2021-10-22,大阪府,135.60111351794671,34.74397848936251,1, #からあげ
からあげ専門店 味まる プリオ豊川店,2021-10-22,愛知県,137.36809511568492,34.82607628399968,1, #からあげ #とんかつ #弁当
元祖からあげ本舗ばんまる 富士見店,2021-10-21,埼玉県,139.547137936711,35.85769860547491,1, #からあげ
からあげ縁 長野権堂店,2021-10-18,長野県,138.18990859088504,36.652224278600656,1, #からあげ
満天からあげ 高槻店,2021-10-18,大阪府,135.62681031288514,34.83090878374022,1, #からあげ
元祖からあげ本舗だるま 浜野店,2021-10-14,千葉県,140.13391507582168,35.552998137825796,1, #からあげ #弁当
大分からあげと鉄板焼 帯屋町応援団 勝男,2021-10-11,高知県,133.53931482924966,33.56065061634048,1, #居酒屋 #からあげ #バル・バール
大分からあげと鉄板焼 近鉄布施応援団 勝男,2021-10-11,大阪府,135.5611465355305,34.66412001624837,1, #からあげ
あっちゃんのからあげ屋 総持寺駅前店,2021-10-08,大阪府,135.58241761568473,34.826623283970605,1, #からあげ #弁当
元祖からあげ本舗 まるけん 伊勢原店,2021-10-05,神奈川県,139.34014631569445,35.40152055286768,1, #からあげ
よしおのからあげ,2021-10-04,福井県,136.22164681570666,36.08227571547921,1, #からあげ
からあげブラザーズ イオンモールナゴヤドーム前店,2021-10-03,愛知県,136.9401086238253,35.188709419021095,1, #からあげ
あっちゃんのからあげ屋 西天満店,2021-10-01,大阪府,135.5061867128829,34.69760039089109,1, #からあげ
からあげの鉄人 五香西口駅前店,2021-09-30,千葉県,139.96312271570147,35.79728803120486,1, #からあげ #定食・食堂
元祖からあげ本舗マルヒデ狛江店,2021-09-28,東京都,139.58850811569852,35.633229640209606,1, #からあげ #弁当
大分からあげと鉄板焼 近鉄八尾応援団 勝男,2021-09-28,大阪府,135.60093582923474,34.63048060228517,1, #からあげ
からあげ原人 調布店,2021-09-21,東京都,139.5637318292519,35.654570088471814,1, #からあげ #弁当
あっちゃんのからあげ屋 水道筋商店街店,2021-09-17,兵庫県,135.22153881568292,34.7126943900826,1, #からあげ #弁当
幸楽苑 since1954＋幸楽苑のからあげ家 小田原ダイナシティウエスト店,2021-09-17,神奈川県,139.1791736089963,35.28582421561941,1, #からあげ
幸楽苑 since1954＋幸楽苑のからあげ家 イオンモールいわき小名浜店　,2021-09-17,福島県,140.89487542105215,36.94857110222722,1, #からあげ
大阪からあげ研究所 by Forgiven 京橋本店,2021-09-16,大阪府,135.52735051568234,34.69778439088114,1, #ダイニングバー #からあげ #居酒屋
元祖からあげ本舗たかはし商店 寝屋川店,2021-09-14,大阪府,135.61706587558118,34.764450716394514,1, #からあげ
元祖からあげ本舗マルコウ 津山店,2021-09-14,岡山県,134.01675860317445,35.072506203153395,1, #からあげ #弁当
からあげ とりいち 福岡香椎店,2021-09-13,福岡県,130.44858031566548,33.67260764508661,1, #からあげ
からあげ縁 イオンモール多摩平の森店,2021-09-06,東京都,139.37840900033243,35.66188986803689,1, #からあげ
からあげ専門店 文一 豊田吉原店,2021-09-05,愛知県,-1.0,-1.0,1, #からあげ
あっちゃんのからあげ屋 河内山本駅前店,2021-09-04,大阪府,135.6195708292347,34.62762750232316,1, #からあげ
からあげ本舗たかはし商店 寝屋川店,2021-09-02,大阪府,135.6172486128841,34.76449978730537,1, #からあげ
からあげ専門店 から助 四日市小杉店,2021-09-02,三重県,136.60526631568757,34.985830375400624,1, #からあげ
とんかつ専門店カツデリ / からあげ専門店からデリ 北谷店,2021-08-31,沖縄県,127.78161354068227,26.31980712048207,1, #からあげ
からあげ金と銀 うえだ神畑店,2021-08-31,長野県,138.21183282923658,36.384182078418924,1, #からあげ
元祖からあげ本舗マルフク射水店,2021-08-26,富山県,137.05081531571813,36.740712778744815,1, #からあげ
元祖からあげ本舗だるま イオンタウン稲毛長沼店,2021-08-26,千葉県,140.1144275156991,35.663572938546594,1, #からあげ #弁当
からあげの匠 泉インター店,2021-08-24,宮城県,140.88781481574776,38.33315458760879,1, #からあげ
元祖からあげ本舗まるしん 秩父店,2021-08-24,埼玉県,139.08427971570478,35.99152642049821,1, #からあげ #弁当
からあげ大丸屋 野方店,2021-08-23,東京都,139.65172782925197,35.72135058755897,1, #からあげ
大分からあげと鉄板焼 扇町応援団 勝男,2021-08-19,大阪府,-1.0,-1.0,1, #居酒屋 #からあげ #バル・バール
ジョニーのからあげ 針中野店,2021-08-18,大阪府,135.53726140208818,34.616966873791824,1, #からあげ
ジョニーのからあげ 茅ヶ崎店,2021-08-18,神奈川県,139.37705812239318,35.345936730443924,1, #からあげ
元祖からあげ本舗いちばん 宮崎本店,2021-08-14,宮崎県,131.4382719151605,31.920953981239034,1, #からあげ
元祖からあげ本舗ヤマタケ 名張店,2021-08-14,三重県,136.1183103156813,34.63874239404072,1, #からあげ
元祖からあげ本舗だるま 木更津新宿店,2021-08-13,千葉県,139.9230980092813,35.38626872692214,1, #からあげ
からあげの匠 新瑞橋店,2021-08-04,愛知県,136.93714561289008,35.114311468460286,1, #からあげ
からあげ縁 桜上水駅前店,2021-08-04,東京都,139.63145878938445,35.667969331409246,1, #からあげ
からあげ縁 イオンモール扶桑店,2021-08-04,愛知県,136.897768715694,35.36135585505488,1, #からあげ
焼き鳥からあげ専門店 ひさ家 千林店,2021-08-03,大阪府,135.55230363586955,34.7244816367978,1, #焼鳥 #からあげ
ジョニーのからあげ フジグラン広島店,2021-08-03,広島県,132.4620228228962,34.387715166510965,1, #からあげ
からあげ専門店 とりこぞう,2021-08-02,愛媛県,132.7235206199822,33.798324305810205,1, #からあげ
